highstreet_name,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,PunCare,PLMTACT,area,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines) ,Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Average data usage (GB) for lines < 10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines,index_right,objectid,highstreet,area_ha
Belsize,2642,2639,3,1460.9000000000003,1269,21.2,156.0,78.83000000000001,0.218,600.1999999999999,705.6,20.2,2000.0,65.39999999999999,145.2,949.2,0.0,64.3,78.2,5.3,200.0,9.200000000000001,13.9,104.2,0.0,5,25,91,192,782,0,782,1865.0,833.0,1558.0,2109.0,0.0,40,3030,3030,50.6961484384459
Brecknock,7839,7768,71,4471.600000000001,3487,57.6,567.0,418.31,0.4940000000000002,1225.7999999999997,1558.6,83.3,5400.0,182.10000000000002,393.49999999999994,2257.6,600.0,124.2,156.3,11.4,507.8,22.1,32.6,229.5,40.0,12,41,260,780,1797,2,1799,6663.0,4166.0,6997.0,6915.0,349.0,156,2522,2522,398.5269777645963
CamdenT,15773,15618,155,7866.2,6897,107.80000000000003,1386.0,769.77,1.3399999999999994,1884.9,2573.4999999999995,117.8,9950.0,323.4000000000001,744.3000000000003,4130.1,1800.0,172.39999999999998,268.0,16.900000000000006,932.0,38.599999999999994,57.20000000000005,444.5000000000001,120.0,47,112,633,2359,3446,6,3452,11841.0,6208.0,11526.0,13077.0,594.0,235,13489,13489,2648.4151075958325
Cricklewood,7666,7629,37,2757.2000000000003,3124,51.69999999999999,506.0,269.68,0.8170000000000001,654.0,847.0,68.6,2840.0,130.2,372.8,1362.2,600.0,79.10000000000001,133.4,8.6,420.0,16.6,25.1,269.7,40.0,7,26,115,1245,1137,2,1139,6436.0,2540.0,6013.0,7417.0,160.0,21,6762,6762,595.1160459601747
Eversholt,2769,2679,90,3367.9,1129,21.099999999999998,256.0,164.93,0.21500000000000002,307.2,472.5,31.5,1900.0,45.79999999999999,173.0,817.7,300.0,20.400000000000002,37.800000000000004,3.4,161.1,6.000000000000001,11.1,68.39999999999999,20.0,10,38,50,511,452,1,453,2574.0,680.0,2750.0,2663.0,199.0,0,5346,5346,56.73328109463563
Fortress,10198,10100,98,4790.2,4516,71.3,870.0,497.1299999999999,0.9110000000000004,1288.3999999999999,1841.6999999999998,116.5,6800.0,214.7,587.1999999999999,2849.7999999999997,1200.0,108.7,178.4,10.3,632.0,23.600000000000005,44.20000000000002,286.2,80.0,14,85,234,1611,2312,6,2318,7199.0,3938.0,6957.0,7767.0,1751.0,96,9120,9120,906.4230006461695
Fortune,2931,2530,401,1003.3999999999999,1134,18.1,200.0,79.30000000000001,0.3400000000000001,430.99999999999994,506.29999999999995,44.6,1900.0,60.800000000000004,130.79999999999998,660.1,900.0,52.0,67.6,3.499999999999999,160.0,7.4,9.399999999999999,91.30000000000001,60.0,1,6,43,262,742,3,745,2016.0,591.0,1810.0,2169.0,588.0,16,2976,2976,52.651898283812656
Hampstead,5694,5444,250,2474.5,2509,45.9,429.0,247.12000000000006,0.7720000000000002,1084.0,1304.8000000000002,57.29999999999999,4680.0,139.40000000000003,332.7,1856.1000000000001,1800.0,129.2,171.89999999999995,9.400000000000002,420.0,20.5,27.800000000000008,252.9,120.0,8,41,171,697,1562,7,1569,3960.0,1761.0,3014.0,4551.0,2635.0,252,11634,11634,378.33021152097984
Haverstock,3454,3413,41,1971.3,1711,26.400000000000002,240.0,172.04,0.29300000000000004,704.0,845.3000000000001,25.900000000000002,2880.0,91.0,197.4,1140.8999999999999,1200.0,76.1,96.20000000000002,4.3,260.0,11.600000000000001,22.8,134.2,80.0,10,49,226,153,952,4,956,2626.0,1163.0,1794.0,3131.0,1022.0,143,3978,3978,91.96632224532338
Kentish,5367,5294,73,3533.8,2319,41.69999999999999,442.0,268.4,0.37000000000000005,818.5,966.6,59.900000000000006,3368.8,119.39999999999998,303.49999999999994,1440.0,300.0,64.0,92.60000000000001,7.499999999999999,331.2,14.200000000000003,23.7,141.60000000000002,20.0,6,22,132,705,1234,1,1235,4457.0,2104.0,4542.0,4438.0,325.0,252,1764,1764,206.17109889458763
Kilburn,16744,16717,27,9896.200000000003,8021,116.90000000000003,1161.0,892.0799999999999,1.0830000000000002,2331.7000000000003,2934.899999999999,160.49999999999997,11367.0,389.3999999999999,894.1000000000001,4372.5,2400.0,245.70000000000002,367.4,22.9,1110.0,52.099999999999994,85.79999999999994,576.7,160.0,25,158,656,1809,3754,9,3763,14189.0,9130.0,14224.0,15444.0,2981.0,728,18760,18760,2239.1148269927485
Loudoun,3433,3431,2,1632.2000000000003,1602,23.8,228.0,127.68,0.24599999999999997,535.7,645.0,33.6,2350.0,76.3,162.5,907.9,600.0,65.0,81.10000000000001,4.4,220.0,10.0,14.1,119.9,40.0,4,27,134,354,947,2,949,2872.0,1514.0,2218.0,3342.0,432.0,88,3344,3344,88.86758057509795
Mansfield,2836,2836,0,1295.8999999999999,1196,26.1,305.0,178.76999999999998,0.9990000000000001,592.2,693.5,29.400000000000002,2400.0,75.7,157.20000000000002,924.5999999999999,600.0,76.3,84.5,4.0,220.0,10.1,14.299999999999999,114.8,40.0,5,21,109,183,741,2,743,2550.0,1547.0,2684.0,2732.0,649.0,77,5148,5148,38.58845900045807
Mill,3777,3777,0,1926.6000000000001,1756,28.0,279.0,135.71,0.2770000000000001,736.3,864.8,42.599999999999994,2700.0,81.69999999999997,221.10000000000002,1150.1,300.0,78.0,101.6,5.300000000000002,260.0,9.700000000000001,17.7,138.3,20.0,6,13,55,367,1023,1,1024,2911.0,1161.0,2478.0,3178.0,168.0,130,4615,4615,85.91100177213333
Queens,6374,6135,239,4198.400000000001,2621,44.6,587.0,389.81,0.32800000000000007,833.5,1117.7,100.70000000000002,3900.0,121.8,304.1000000000001,1626.7,300.0,85.9,116.60000000000001,9.500000000000002,380.0,14.200000000000001,21.9,174.7,20.0,3,12,54,679,1237,1,1238,5401.0,2515.0,5565.0,5391.0,1197.0,171,6232,6232,195.980793302756
Regents,3474,3470,4,1922.2000000000003,1707,26.099999999999994,315.0,170.76000000000002,0.42500000000000004,786.0999999999999,876.5999999999999,47.400000000000006,2800.0,93.5,183.29999999999998,1184.1000000000001,600.0,73.0,103.0,5.700000000000001,260.0,13.2,16.9,140.20000000000002,40.0,4,28,171,287,1060,3,1063,2693.0,1388.0,2497.0,2973.0,178.0,208,4212,4212,85.38805495749673
SouthEnd,3135,3126,9,1070.1000000000001,1394,24.900000000000002,262.0,120.80999999999999,0.7440000000000002,544.8,666.4,24.000000000000004,2480.0,70.89999999999999,166.60000000000002,923.1999999999999,1200.0,66.1,79.7,4.3,220.0,9.700000000000001,17.8,113.89999999999999,80.0,9,44,163,224,849,4,853,2030.0,1137.0,1981.0,2266.0,1257.0,165,3377,3377,67.44574219864691
WestEnd,14512,14375,137,7810.2,6733,107.1,925.0,561.9200000000001,1.1990000000000003,2299.0,2929.3999999999996,179.59999999999997,10800.0,351.0,830.5000000000001,4204.9000000000015,2400.0,277.2,361.50000000000006,20.199999999999996,1000.0,43.199999999999974,66.30000000000001,542.7000000000002,160.0,19,90,556,1852,3969,10,3979,11590.0,6024.0,10499.0,12632.0,2408.0,900,27750,27750,2337.4489731455033
Willesden,3850,3837,13,2961.0,1854,26.900000000000002,273.0,220.43999999999994,0.20400000000000004,630.0,787.6,59.00000000000001,2900.0,96.9,188.19999999999993,1059.5,900.0,67.1,90.1,6.699999999999999,260.0,13.4,15.1,125.30000000000001,60.0,0,16,73,371,963,5,968,2933.0,2078.0,2879.0,3065.0,941.0,221,4849,4849,65.45740593066351
