highstreet_name,Street ID,Context,ID,Easting,Northing,Longitude,Latitude,index_right,objectid,highstreet,area_ha,crime
Belsize,615433925,0.0,42005323775,335081399.3899996,117611148.38000026,-109.27570399999978,32785.13357400008,2544,192708,192708,3224.2750406851897,636
Brecknock,2274897890,0.0,152670209522,1245084228.7700346,434541033.44000596,-303.329710999999,121138.19865899863,14100,227950,227950,36020.70760564649,2350
CamdenT,31561254900,0.0,2025390445473,17090056849.177448,5942927907.999251,-4640.242865999267,1665544.422316848,161580,9274692,9274692,1820982.6088734088,32316
Cricklewood,1233461649,0.0,83692231402,668250186.5899979,236390805.7799985,-269.20296500000205,65731.20578300099,1275,410550,410550,36132.04564758267,1275
Eversholt,1259298508,0.0,84717581918,694453776.2300034,239653097.61000383,-172.31817599999863,67554.8323600006,0,778734,778734,8264.14794611876,1311
Fortress,6763818572,0.0,452134899187,3661680994.5499625,1280981988.9000692,-976.0316689999902,356826.9824800012,20766,1972770,1972770,196070.62532725447,6922
Fortune,815639572,0.0,54799362815,442715871.60000014,156448292.37999973,-165.18547999999953,43461.09993100065,1686,313596,313596,5548.193781656715,843
Hampstead,2660753699,0.0,177633568392,1427792410.7099967,503707604.6000063,-480.2475199999961,139820.7274370004,32544,1502448,1502448,48858.6444592801,2712
Haverstock,1469511010,0.0,97832712781,775645001.1799977,272338054.39999926,-243.4370459999991,75831.20509399986,16181,450126,450126,10406.343078682596,1471
Kentish,1790631410,0.0,118462757985,952070326.6300231,331388929.7900027,-248.25939600000225,92724.02682100004,25186,176302,176302,20605.655939519613,1799
Kilburn,5519922407,0.0,364576278444,3001672419.9000726,1050474877.1400334,-1110.7003520000271,294497.1713229968,74282,1914190,1914190,228469.68073994704,5714
Loudoun,1247769463,0.0,83626078999,678466205.0599974,237296558.16999832,-231.2732040000006,66437.13518200045,10312,391856,391856,10413.664669208978,1289
Mansfield,620895142,0.0,39537019292,307389782.7299988,108011164.13999982,-88.92032400000014,30004.78648700021,4074,272376,272376,2041.6802852969429,582
Mill,559418992,0.0,38954501255,307115893.1800004,108335601.9899994,-116.25260100000091,30157.779062000172,5850,207675,207675,3865.9950797459855,585
Queens,1768223506,0.0,116936917678,964967096.250013,338202666.58999795,-279.2149950000012,94182.52214800095,16443,599256,599256,18845.10049284968,1827
Regents,989189947,0.0,67902708528,541117058.1999991,188711210.64000082,-160.73147799999958,52829.9258699998,16400,332100,332100,6732.519717802642,1025
SouthEnd,1195606778,0.0,80824631120,641185353.0999973,225661545.6600024,-201.05158900000063,62690.551418000505,18240,373312,373312,7455.820228505065,1216
WestEnd,9551046563,0.0,625650592812,5000065446.500167,1755350047.680123,-1737.3437030000084,489903.43745098775,171072,5274720,5274720,444302.3008154575,9504
Willesden,926763654,0.0,63391494843,504213250.3399954,176833382.83999866,-187.82214400000026,49481.117557000034,16320,358080,358080,4833.777668726018,960
