highstreet_name,os_addressbase_uprn,longitude,easting,latitude,northing,index_right,objectid,highstreet,area_ha,cultural_infra
Brecknock,5320348131.0,-1.157394931685352,4767582.688963469,463.93554128322484,1664969.689931616,54,873,873,137.95164614928333,9
CamdenT,233288667.0,-11.322645830143255,41770147.93947138,4071.6025687032184,14532576.474944776,395,22673,22673,4451.59135106533,79
Cricklewood,5122783.0,-0.41795379673749306,1048321.0002442001,103.10495909191674,370611.0002442002,2,644,644,56.6777186628738,2
Eversholt,30710708.0,-1.1636859914221604,4767318.846525743,463.7576608081208,1645341.429276025,0,5346,5346,56.73328109463563,9
Fortress,25298995.0,-2.2268807011357254,8463986.89174991,824.797699648456,2962207.2888413244,48,4560,4560,453.21150032308475,16
Fortune,0.0,-0.1950256024097984,525123.0001221001,51.554149847736504,185515.0001221001,2,372,372,6.58148728547658,1
Hampstead,40544259.0,-2.290354228412653,6843369.446751527,670.2398971156132,2416167.0239801407,156,7202,7202,234.20441665584474,13
Haverstock,5050403.0,-0.4945515203148194,1581672.0003663003,154.65235738446492,555579.0003663002,33,918,918,21.222997441228472,3
Kentish,15189180.0,-1.2217963171101538,4763425.001099095,463.86647053740114,1657122.0010978878,126,882,882,103.08554944729379,9
Kilburn,20272088.0,-2.146381277128691,5776679.001343198,566.9491432672583,2024373.0013425944,143,3685,3685,439.8261267307182,11
Mansfield,0.0,-0.14971967085232624,528263.0001221001,51.554298400906156,185610.0001221001,7,468,468,3.50804172731437,1
Mill,5188488.0,-0.39740540267609503,1049756.0002442002,103.10108307637687,370215.0002442002,20,710,710,13.21707719571282,2
Queens,15157485.0,-0.7569233873679637,2640799.0006105006,257.7497689844113,925620.0006105005,45,1640,1640,51.5738929744095,5
Regents,10221175.0,-0.6207279722604514,2111690.0004884973,206.16282131117626,736356.0004878938,64,1296,1296,26.27324767922976,4
SouthEnd,0.0,-0.16397917242130544,527275.0001221001,51.554153706664685,185569.0001221001,15,307,307,6.1314311089679,1
WestEnd,30347287765.0,-4.52433647622588,13152270.676986935,1288.6696891256802,4618334.783823504,450,13875,13875,1168.7244865727525,25
Willesden,10107086417.0,-0.7803950628361197,2100585.0004884005,206.17531501066668,737469.0004884003,68,1492,1492,20.140740286358,4
