highstreet_name,objectid_left,st_areasha,st_lengths,All categories: Economic activity,Economically active: Total,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed with employees: Part-time,Economically active: Self-employed with employees: Full-time,Economically active: Self-employed without employees: Part-time,Economically active: Self-employed without employees: Full-time,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Total,Economically inactive: Retired,Economically inactive: Student (including full-time students),Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other,index_right,objectid_right,highstreet,area_ha
Belsize,2576,419549.229542,6462.29572,3632,2931,241,1804,19,169,206,345,96,51,701,236,160,187,39,79,12,909,909,15.20884453153377
Brecknock,4423,485843.89016,9613.785526,6965,5081,576,2915,25,141,271,598,310,245,1884,415,724,254,267,224,30,485,485,76.6398034162685
CamdenT,12439,1775919.4893669998,30423.046147,18758,12405,1686,6603,77,397,601,1217,1010,814,6353,1239,2348,975,1139,652,70,4018,4018,788.8896065179082
Cricklewood,1709,454028.107088,6877.1993760000005,2890,2203,229,1297,20,90,120,229,131,87,687,173,201,114,108,91,2,644,644,56.6777186628738
Eversholt,1877,223386.419472,3554.416,2291,1287,253,613,11,26,37,66,137,144,1004,132,474,128,170,100,0,1188,1188,12.60739579880792
Fortress,8826,1449077.111218,25875.931361,13534,9481,1199,5152,47,317,543,1091,693,439,4053,904,1349,561,832,407,30,2850,2850,283.257187701928
Fortune,4298,972338.4736339999,13483.875960999998,6225,4501,471,2584,30,248,308,452,217,191,1724,440,642,324,152,166,10,1860,1860,32.907436427382905
Hampstead,6126,2235912.936712,23776.701029,7989,5907,528,3288,71,412,527,712,202,167,2082,718,488,522,106,248,84,3878,3878,126.11007050699328
Haverstock,3419,472835.371349,7716.84919,5296,4107,367,2617,21,162,226,427,176,111,1189,396,300,195,163,135,44,1224,1224,28.29732992163796
Kentish,5263,815427.9760629999,13790.995829999998,8615,5697,748,3035,42,145,287,553,478,409,2918,470,1255,388,484,321,84,588,588,68.7236996315292
Kilburn,5474,669875.794229,12202.071097,8701,6310,742,3871,31,136,251,506,493,280,2391,656,634,333,484,284,78,2010,2010,239.9051600349372
Loudoun,4698,549480.7804630001,9843.366001,6248,4619,480,2828,29,157,243,402,294,186,1629,412,486,324,221,186,40,1520,1520,40.394354806862694
Mansfield,3507,1211000.959271,11164.723039,4767,3330,458,1756,24,83,217,374,260,158,1437,395,414,219,274,135,28,1872,1872,14.03216690925748
Mill,6197,705673.047677,12585.736690999998,9119,7144,626,4666,34,205,402,652,361,198,1975,585,591,297,302,200,70,2485,2485,46.25977018499487
Queens,6157,659544.647504,13085.788544,8532,5334,883,2732,29,129,253,405,571,332,3198,690,944,553,690,321,63,2296,2296,72.2034501641733
Regents,4255,740889.852525,10838.071112,6153,4415,413,2497,37,240,307,559,223,139,1738,565,434,275,282,182,80,1620,1620,32.8415595990372
SouthEnd,5263,1374232.40565,17229.791486,7211,5570,506,3290,46,286,427,653,237,125,1641,553,414,331,157,186,90,1842,1842,36.7885866538074
WestEnd,14637,2162815.2955010002,34714.540072,21114,15907,1335,10354,91,632,809,1448,768,470,5207,1286,1612,1096,610,603,288,8880,8880,747.9836714065617
Willesden,4652,636072.944048,10936.303558,7401,5683,581,3724,18,128,225,451,365,191,1718,470,450,274,331,193,85,1865,1865,25.1759253579475
